id,name,city,latitude,longitude
202372,PARKSVILLE,NOT AVAILABLE,49.3,-124.32
202373,LANTZVILLE,NOT AVAILABLE,49.23,-124.07
202415,UNKNOWN202415,NOT AVAILABLE,49.14,-116.54
202422,UNKNOWN202422,NOT AVAILABLE,49.07,-122.39
202618,UNKNOWN202618,NOT AVAILABLE,49.11,-117.74
202619,UNKNOWN202619,NOT AVAILABLE,49.1,-117.82
202620,UNKNOWN202620,NOT AVAILABLE,49.1,-117.74
202705,UBC SOUTH CAMPUS,NOT AVAILABLE,49.25,-123.23
202706,WESTCOAST CELLUFIBRE,VANCOUVER,49.21,-123.11
202374,SHAWNIGAN LAKE,NOT AVAILABLE,48.65,-123.6
202799,VANCOUVER AIRPORT,NOT AVAILABLE,49.19,-123.15
202829,UNKNOWN202829,NOT AVAILABLE,49.04,-119.43
202833,UNKNOWN202833,OSOYOOS,49.03,-119.47
202948,HAREWOOD WEST,NOT AVAILABLE,49.12,-123.95
203099,UNKNOWN203099,NOT AVAILABLE,49.1,-117.73
203102,UNKNOWN203102,NOT AVAILABLE,49.11,-117.73
